City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Manaure,81.97,11.78,-72.44,75,1,14.94
Mastic Beach,74.23,40.77,-72.85,83,1,8.72
Hay River,55.4,60.82,-115.8,93,90,21.92
Smithers,66.2,54.78,-127.17,39,40,6.93
Ajdabiya,72.61,30.76,20.23,64,0,9.86
Broken Hill,50.0,-31.95,141.43,76,0,9.17
Nicoya,75.02,10.15,-85.45,90,100,1.1
Hede,78.82,33.77,120.25,71,100,4.85
Mezen',53.11,65.85,44.24,80,100,7.05
San Rafael del Sur,78.8,11.85,-86.44,94,40,6.93
Lac-Mégantic,64.35,45.58,-70.88,88,75,1.92
Pierre,78.84,44.37,-100.35,69,1,5.82
Limbang,82.2,4.75,115.0,83,75,3.36
Daru,78.4,-9.08,143.21,87,89,16.75
Quelimane,57.7,-17.88,36.89,89,0,3.27
Sydney,58.41,-33.87,151.21,77,40,28.86
Bida,71.73,9.08,6.02,96,100,3.53
Nantucket,69.93,41.28,-70.1,100,90,9.17
Flin Flon,58.95,54.77,-101.86,71,85,12.73
Obo,66.06,5.4,26.49,98,91,3.24
Nishihara,89.4,26.18,127.76,79,40,9.17
Avera,78.44,33.19,-82.53,94,40,4.07
Kasongo-Lunda,67.78,-6.47,16.82,70,66,2.06
Mabay,87.8,6.06,124.47,58,20,4.7
Naze,88.72,28.37,129.48,70,75,12.75
Aloleng,85.21,16.13,119.78,64,94,3.58
Abhā,68.85,18.22,42.51,40,0,5.82
Udachny,75.2,66.42,112.4,38,7,11.18
Anchorage,67.24,61.22,-149.9,40,75,8.05
Niono,77.63,14.25,-5.99,74,99,11.36
Piaçabuçu,73.47,-10.41,-36.43,89,5,5.23
Ugoofaaru,83.98,5.67,73.0,72,20,6.64
Torbat-e Jām,85.82,35.24,60.62,17,0,11.07
Meïganga,63.93,6.52,14.3,97,100,3.13
