City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Weyburn,52.0,49.67,-103.85,82,0,8.99
Daniel Flores,69.58,9.34,-83.67,77,35,4.0
Tanout,85.37,14.97,8.89,42,3,15.57
Byron Bay,59.81,-28.65,153.62,51,90,13.87
Kathu,86.58,7.92,98.33,70,40,6.93
Saint-Joseph,73.67,-21.37,55.62,61,19,4.7
Bāndarban,87.8,22.2,92.23,74,75,13.87
Santiago,42.8,-33.46,-70.65,93,4,3.36
Tuntum,69.85,-5.26,-44.65,91,98,2.77
Marzuq,91.9,14.4,46.47,30,5,4.25
Pravia,65.17,43.49,-6.15,77,20,4.7
Hervey Bay,62.01,-25.3,152.85,45,0,8.01
Krasnogorskoye,72.91,52.3,86.2,76,98,8.48
Grand Forks,62.38,47.93,-97.03,77,1,6.93
Makkah al Mukarramah,103.23,21.43,39.83,9,44,5.61
Bāfq,101.19,31.61,55.41,11,0,6.67
Monkey Bay,70.79,-14.07,34.92,62,38,2.48
Mathbaria,81.37,22.29,89.96,88,100,11.45
Yakeshi,86.18,49.28,120.73,34,100,6.46
Limenas Hersonissou,79.39,35.32,25.39,65,20,19.46
Port-Cartier,58.14,50.03,-66.87,82,90,4.7
Kirakira,79.63,-10.45,161.92,83,100,9.19
Tautira,75.09,-17.73,-149.15,94,75,6.93
Catabola,62.6,-12.15,17.28,27,0,6.2
Kashgar,82.4,39.45,75.98,28,75,6.71
Padang,84.67,-0.95,100.35,66,98,5.06
Vila,66.99,42.03,-8.16,67,100,1.01
Marsaxlokk,80.55,35.84,14.54,69,5,6.93
Honningsvåg,46.4,70.98,25.97,87,75,5.82
Rochester,62.26,43.15,-77.62,93,20,3.36
Cabra,81.0,37.47,-4.44,49,2,3.6
Esim,76.53,4.87,-2.24,80,56,13.33
Mayo,70.21,38.89,-76.51,78,1,7.0
Hohhot,84.2,40.81,111.65,45,20,8.95
Nizwá,102.22,22.93,57.53,25,1,4.85
Samarai,79.0,-10.62,150.67,86,36,10.18
Nizhniy Kuranakh,80.28,58.84,125.49,63,85,2.15
Fare,79.81,-16.7,-151.02,78,86,4.63
Champerico,76.6,14.3,-91.92,82,100,7.2
Tongling,78.31,30.95,117.78,82,95,8.97
Kisaran,88.88,2.98,99.62,58,100,5.37
Zharkent,93.0,44.16,80.0,13,49,7.67
