City,Country,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Kisangani,CD,84.2,0.52,25.2,66,75,6.93
Rancho Palos Verdes,US,64.85,33.74,-118.39,88,64,3.0
‘Āhuimanu,US,73.51,21.44,-157.84,73,75,10.29
Souillac,MU,75.2,-20.52,57.52,64,40,11.41
Mahāsamund,IN,82.4,21.1,82.1,78,40,2.24
Lerwick,GB,57.2,60.15,-1.15,71,20,6.93
Hays,US,79.39,30.05,-98.03,75,14,5.01
Chimoio,MZ,60.48,-19.12,33.48,77,80,10.74
Balikpapan,ID,77.68,-1.27,116.83,89,93,7.29
Honiton,GB,63.75,50.8,-3.19,68,75,14.99
Santo Antônio do Içá,BR,85.37,-3.1,-67.94,62,31,1.92
Vila Velha,BR,70.25,-20.33,-40.29,88,75,10.29
Erzin,TR,84.0,36.96,36.2,86,0,14.0
Padang,ID,80.73,-0.95,100.35,75,18,3.65
Dawei,MM,77.22,14.08,98.2,88,100,1.21
Jatiroto,ID,74.03,-7.88,111.12,86,11,2.44
Odesa,UA,77.0,46.48,30.73,36,3,15.66
Labuan,MY,82.2,5.28,115.24,88,20,6.93
Pyapon,MM,80.78,16.28,95.68,84,99,6.26
Beihai,CN,85.98,21.48,109.1,71,36,10.13
Vista Hermosa,MX,60.39,19.52,-99.22,72,75,4.7
Mogzon,RU,60.64,51.74,111.96,91,99,6.02
Vilyuysk,RU,68.02,63.76,121.62,55,47,2.62
Nha Trang,VN,86.0,12.25,109.18,79,40,8.05
Buala,SB,79.27,-8.14,159.59,80,97,4.63
Maceió,BR,78.8,-9.67,-35.74,83,40,4.7
Derzhavīnsk,KZ,84.74,51.1,66.32,33,0,10.25
Ayan,RU,65.8,56.45,138.17,76,100,7.43
Te Anau,NZ,31.84,-45.42,167.72,97,67,2.42
Redmond,US,54.82,47.67,-122.12,81,14,1.03
Charagua,BO,62.55,-19.8,-63.22,53,97,2.82
Kiryat Gat,IL,89.29,31.61,34.76,30,0,3.0
Sarankhola,BD,81.82,22.31,89.79,86,79,5.73
Keti Bandar,PK,87.03,24.14,67.45,75,0,15.9
Bukachacha,RU,63.84,52.98,116.92,89,100,1.14
Kenmare,IE,60.8,51.88,-9.58,93,75,8.05
Vestmannaeyjar,IS,52.47,63.44,-20.27,90,100,26.17
Kautokeino,NO,62.02,69.01,23.04,62,100,15.61
Santa Marta,CO,83.12,11.24,-74.2,67,3,9.1
Anadyr,RU,46.18,64.75,177.48,93,40,4.47
Alta Floresta,BR,84.2,-9.88,-56.09,42,0,5.82
Summerville,US,85.66,33.02,-80.18,74,1,3.85
Coahuayana Viejo,MX,73.4,18.73,-103.68,83,40,2.86
Kilingi-Nõmme,EE,69.8,58.15,24.96,56,100,5.82
Morón,AR,49.48,-34.65,-58.62,49,0,3.36
Astorga,BR,66.0,-23.23,-51.67,77,0,3.36
Balgazyn,RU,60.73,51.0,95.2,51,76,10.0
Coquimbo,CL,46.4,-29.95,-71.34,100,90,4.7
Krasnystaw,PL,73.2,50.98,23.17,49,3,2.24
Amarante do Maranhão,BR,88.12,-5.57,-46.74,45,0,7.96
Tautira,PF,75.09,-17.73,-149.15,88,20,1.12
Phan Thiet,VN,79.72,10.93,108.1,87,100,0.36
Córdoba,AR,50.5,-31.41,-64.18,53,76,4.7
Farafangana,MG,71.62,-22.82,47.83,80,0,4.61
Alihe,CN,66.67,50.57,123.72,84,64,3.78
Yar-Sale,RU,60.98,66.83,70.83,89,100,11.72
Spirovo,RU,56.28,57.42,34.98,94,100,10.27
Miandrivazo,MG,83.8,-19.52,45.47,29,0,8.37
Iquique,CL,57.2,-20.22,-70.14,76,40,4.7
Asău,RO,79.02,46.43,26.4,36,20,6.93
Sawtell,AU,53.92,-30.38,153.1,54,0,3.36
Al Bardīyah,LY,82.11,31.76,25.09,49,0,15.1
Fare,PF,78.69,-16.7,-151.02,80,0,10.94
Turaif,SA,102.2,31.67,38.66,16,0,6.93
Honningsvåg,NO,46.4,70.98,25.97,87,75,5.82
Lambaré,PY,60.8,-25.35,-57.61,55,75,4.7
Saldanha,ZA,62.6,-33.01,17.94,42,0,3.36
Constitución,CL,55.33,-35.33,-72.42,67,0,3.69
Bathsheba,BB,86.0,13.22,-59.52,66,40,10.29
Impfondo,CG,86.43,1.64,18.07,56,68,2.44
Forsytheganj,BY,65.16,52.63,29.73,59,96,9.93
Vuktyl,RU,62.67,63.86,57.31,84,93,14.07
Barra de Tecoanapa,MX,80.1,16.52,-98.75,83,0,3.94
Boa Vista,BR,80.6,2.82,-60.67,78,40,5.82
Deputatsky,RU,37.08,69.3,139.9,79,16,12.44
Winslow,US,69.8,35.02,-110.7,40,1,3.36
Saint Andrews,US,84.54,34.05,-81.13,74,40,4.7
Gatesville,US,78.24,31.44,-97.74,74,1,10.29
Mahibadhoo,MV,84.63,3.78,72.97,74,100,9.91
Tombouctou,ML,104.07,20.0,-3.0,24,51,9.75
Teya,RU,54.7,60.38,92.63,67,91,5.41
Luklukan,PH,80.69,14.33,122.71,84,29,6.15
Ilebo,CD,89.13,-4.32,20.58,41,96,3.49
Marawi,PH,75.0,8.0,124.29,91,100,3.0
Aksarka,RU,61.7,66.56,67.8,93,100,10.67
Plaeng Yao,TH,88.97,13.58,101.28,99,100,5.75
Portree,GB,54.0,57.41,-6.19,86,98,5.99
Shimanovsk,RU,69.03,52.0,127.7,81,10,6.64
Grand Forks,US,67.75,47.93,-97.03,63,40,8.05
Warrensburg,US,68.23,38.76,-93.74,88,100,10.29
Beringovskiy,RU,48.34,63.05,179.32,88,24,8.77
Palauig,PH,82.26,15.44,119.9,75,88,3.89
Mago,RU,63.19,53.25,140.18,83,0,3.44
Morant Bay,JM,86.47,17.88,-76.41,66,20,6.93
Aykhal,RU,71.6,66.0,111.5,43,20,4.47
Wanning,CN,82.15,18.8,110.4,84,93,10.67
Nelson Bay,AU,52.48,-32.72,152.15,71,40,9.17
Puerto Carreño,CO,77.0,6.19,-67.49,88,20,5.82
Chegdomyn,RU,64.78,51.12,133.02,90,100,0.83
Necochea,AR,44.01,-38.55,-58.74,80,4,5.01
Médéa,DZ,86.0,36.26,2.75,55,20,21.92
